# Y = found in the Evo2 organism file; N = not found.
# Multiple assembly IDs mean multiple Evo2 assemblies matched the same pathogen.
# Pathogen	Y/N	Assembly_IDs


Ramularia deusta	N	
Ramularia primulae	N	
Ramularia tulasnei	N	
Rhizoctonia solani	N	
Rhizoctonia spp.	N	
Rhizopus spp.	N	
Rosellinia necatrix	N	
Schizophyllum commune	N	
Sclerotinia narcissicola	N	
Sclerotinia sclerotiorum	N	
Sclerotinia spp.	N	
Sclerotium cepivorum	N	
Sclerotium rolfsii	N	
Septocyta ruborum	N	
Septoria chrysanthemi	N	
Septoria dianthi	N	
Septoria spp.	N	
Septoria verbenae	N	
Sphaceloma rosarum	N	
Sphacelotheca reiliana	N	
Sphaerotheca fuliginea	N	
Sphaerotheca macularis	N	
Sphaerotheca pannosa	N	
Spongospora subterranea	N	
Stemphylium spp.	N	
Stemphylium vesicarium	N	
Stereum spp.	N	
